,Channel_name,Description,Subscribers,Views,Total_videos,Playlist_id
10,Aaron Jack / Freemote,"Freemote Bootcamp by Aaron Jack -- 
The Bootcamp that lets you start EARNING as you LEARN TO CODE!

Check out our website & reviews
https://freemote.com
https://www.trustpilot.com/review/freemote.com

Freemote's Social Media (more free content!)
https://instagram.com/freemotebootcamp
https://facebook.com/freemotebootcamp
https://twitter.com/freemote1

Aaron Jack's Social Media
https://instagram.com/aaronjack
https://twitter.com/_aaronjack
",301000,14665655,91,UURLEADhMcb8WUdnQ5_Alk7g
11,Nicholas T.,"tech from a computer science student’s perspective

instagram: https://www.instagram.com/itsnicholas.t/
discord: https://discord.gg/tgMdKVBfzU
",125000,10184712,25,UUzSc8bhRKEKe7xEGp-5LWAg
12,Aurelius Tjin,"Hey there 👋 On this channel I share tips, tutorials, and useful tools to help you become a productive digital creator!

NEW VIDEO WEEKLY!

SOCIALS:
Instagram and Twitter: @aureliustjin
Website: https://www.AureliusTjin.com

For business inquiries including sponsorships and collaborations, please email:
partnerships@aureliustjin.com

For everything else: aurelius@aureliustjin.com
",262000,10352391,213,UUTs3VX60I6EKrrwdkgrwCGQ
13,Chandoo,"I make videos on Excel, Power BI  & Data Analytics so that you can be awesome at your work.

My vision is to help 1 million people every month.

New videos are uploaded every Tuesday & sometimes on Thursdays too. 
I do a live stream on last Sunday of the month on an advanced topic.

~ I use Excel 365 and Latest version of Power BI in my videos.

Join the fun by subscribing.

💻📗👉 For more advanced training, check out my Excel School program - https://chandoo.org/wp/excel-school-program/
",262000,19363603,372,UU8uU_wruBMHeeRma49dtZKA
14,William Lin,"I am tmwilliamlin168, a competitive programmer, a sophomore at MIT into startups, and I make random videos
IOI 2020 Winner
Codeforces Max Rating 2931 (International Grandmaster)
CodeChef Max Rating 2916 (7 stars)

",334000,20919165,118,UUKuDLsO0Wwef53qdHPjbU2Q
15,Charlie Chang,"My name is Charlie -- I am a 29-year-old entrepreneur based in Southern California. I run multiple businesses ranging from E-commerce to my own real estate brokerage, and I originate mortgages as well. In the past, I've done modeling, photography, and pretty much everything under the sun.

I make videos about personal finance, earning money online, investing, productivity, real estate, and entrepreneurship. I am a huge proponent of self-employment and building up multiple streams of income. If this interests you, please subscribe to my channel to learn more!
",720000,31826144,272,UUTQuKo8v0PaPCvk5aRxc_Yg
16,Frying Pan,"hi my name is pan and I make vlogs and skits.

I post about whatever I find helpful or entertaining in my life.
I'm currently studying computer science in university and interning as a SWE at a big tech company.

I love good stories and funny content.

new video every 2 weeks and I'm live weekly on twitch:)
",263000,18583994,22,UUfeMEuhdUtxtaUMNSvxq_Xg
17,Dennis Ivy,"Sharing what I know about Full Stack Web development with the primary Focus being Python, Django & Javascript at the time. I will be creating Project based tutorials for these Languages/Frameworks/Libraries along with sharing my personal experience.",165000,12256507,167,UUTZRcDjjkVajGL6wd76UnGg
18,David Bombal,"Want to learn about IT? Want to get ahead in your career?  Well, this is the right place! 

On this channel, I discuss Linux, Python, Ethical Hacking, Networking, CCNA, Virtualization and other IT related topics.
   
This YouTube channel has new videos every week! Subscribe for technical, detailed, no fluff content.

Are you interested in sponsoring me? Email: sponsor@davidbombal.com 

David’s details:
Discord: https://discord.com/invite/usKSyzb
Twitter: https://www.twitter.com/davidbombal 
Instagram: https://www.instagram.com/davidbombal 
LinkedIn: https://www.linkedin.com/in/davidbombal 
Facebook: https://www.facebook.com/davidbombal.co 
Website: http://www.davidbombal.com  
YouTube: https://www.youtube.com/davidbombal 

All the best!
David",1040000,52368041,1207,UUP7WmQ_U4GB3K51Od9QvM0w
19,Clément Mihailescu,"I'm an Ex-Google Software Engineer, an Ex-Facebook Software Engineer, and the CEO and co-founder of AlgoExpert (algoexpert.io), a website that helps Software Engineers prepare for coding interviews.

After graduating with a degree in Mathematics from the University of Pennsylvania in May 2016, I decided to learn programming and to enroll in Fullstack Academy, an immersive coding bootcamp in New York City. While there, I fell in love with full-stack development and algorithm analysis. Upon completion of the program, I dove deeper into the field of algorithms and aced the Google interviews. The frustration that I felt during my interview prep led me to creating AlgoExpert.

This YouTube channel is the outlet for all my thoughts on tech, entrepreneurship, and random miscellanea!",471000,61389899,235,UUaO6VoaYJv4kS-TQO_M-N_g
20,Keep On Coding,"Coding in a nutshell. Programming tutorials, experiences in the tech industry, and attempting to be funny once in a while.",251000,21245140,134,UUsLo154Krjwhoz8W00N8ItA
